Tiempo,Susceptibles,Infectados,Removidos
4.19,0.9987168599748484,0.0008813933373618482,0.0004017466877898504
4.2,0.998685482235043,0.0009038453535521358,0.00041067241140494424
4.21,0.9986532504275389,0.0009269237993487321,0.00041982577311247906
4.22,0.9986201394838551,0.0009506473858332763,0.0004292131303117381
4.23,0.9985861235554209,0.0009750354141312018,0.00043884103044806685
4.24,0.99855117598816,0.0010001077948302009,0.0004487162170098928
4.25,0.9985152692962193,0.0010258850680576902,0.0004588456357232073
4.26,0.99847837513481,0.0010523884242399798,0.0004692364409502122
4.2700000000000005,0.9984404642721345,0.001079639725566621,0.00047989600229906534
4.28,0.9984015065603641,0.0011076615281842086,0.0004908319114518971
4.29,0.998361470905637,0.001136477105144734,0.0005020519892185177
4.3,0.9983203252370423,0.0011661104701344378,0.00051356429282349
4.3100000000000005,0.9982780364745557,0.0011965864020099864,0.0005253771234345046
4.32,0.9982345704958903,0.001227930470169699,0.0005374990339402718
4.33,0.9981898921022253,0.0012601690607884867,0.0005499388369864191
4.34,0.9981439649827759,0.0012933294039461176,0.0005627056132781825
4.3500000000000005,0.9980967516781618,0.0013274396016794239,0.0005758087201589747
4.36,0.9980482135425359,0.001362528656990069,0.0005892578004742283
4.37,0.9979983107044295,0.0013986265038405576,0.0006030627917302312
4.38,0.99794700202627,0.00143576403817224,0.0006172339355580053
4.39,0.9978942450625274,0.0014739731499801788,0.000631781787492621
4.4,0.9978399960164407,0.0015132867564808885,0.0006467172270786964
4.41,0.9977842096952769,0.0015537388364101332,0.0006620514683131941
4.42,0.997726839464074,0.0015953644654891754,0.0006777960704370071
4.43,0.9976678371978139,0.001638199853099113,0.0006939629490872159
4.44,0.9976071532319738,0.001682282380204215,0.0007105643878223018
4.45,0.9975447363114008,0.001727650638566476,0.0007276130500330144
4.46,0.9974805335374534,0.0017743444712949544,0.0007451219912520248
4.47,0.9974144903133496,0.001822405014774834,0.0007631046718759339
4.48,0.9973465502876642,0.0018718747420225683,0.0007815749703136652
4.49,0.9972766552959098,0.0019227975075149053,0.0008005471965757393
4.5,0.9972047453001399,0.0019752185935410786,0.0008200361063194156
4.51,0.9971307583265062,0.0020291847581289657,0.0008400569153651846
4.5200000000000005,0.9970546304007022,0.002084744284597564,0.0008606253147006113
4.53,0.9969762954812226,0.0021419470327897205,0.0008817574859880619
4.54,0.9968956853903663,0.0022008444920406656,0.0009034701175933915
4.55,0.9968127297429076,0.00226148983593956,0.0009257804211532368
4.5600000000000005,0.9967273558723583,0.0023239379789429353,0.0009487061486991369
4.57,0.9966394887547424,0.0023882456349006314,0.0009722656103573013
4.58,0.9965490509298003,0.0024544713775565695,0.000996477692643463
4.59,0.9964559624195389,0.0025226757030884753,0.0010213618773728809
4.6000000000000005,0.9963601406440417,0.0025929210947524626,0.001046938261206213
4.61,0.9962615003344475,0.002665272089700209,0.0010732275758526429
4.62,0.9961599534430097,0.002739795348038302,0.001100251208952333
4.63,0.9960554090501381,0.0028165597242011974,0.001128031225660984
4.64,0.9959477732683292,0.002895636340711114,0.0011565903909599973
4.65,0.9958369491428837,0.002977098664400082,0.0011859521927164891
4.66,0.9957228365493108,0.003061022585171276,0.0012161408655181594
4.67,0.9956053320873128,0.0031474864973786657,0.0012471814153088023
4.68,0.9954843289712433,0.0032365713839059393,0.001279099644851045
4.69,0.9953597169169289,0.003328360903027564,0.0013119221800437211
4.7,0.9952313820247414,0.00342294147813675,0.0013456764971221205
4.71,0.995099206658803,0.00352040239042697,0.0013803909507702184
4.72,0.9949630693222098,0.003620835874615561,0.0014160948031748603
4.73,0.9948228445281477,0.003724337217799761,0.0014528182540527717
4.74,0.9946784026667808,0.003831004861537342,0.0014905924716821792
4.75,0.9945296098677827,0.003940940507245755,0.001529449624971756
4.76,0.9943763278583843,0.004054249225015396,0.001569422916600553
4.7700000000000005,0.9942184138168024,0.00417103956593424,0.0016105466172635435
4.78,0.9940557202209191,0.004291423678022641,0.001652856101058386
4.79,0.9938880946920716,0.0044155174258785545,0.0016963878820500087
4.8,0.9937153798338147,0.004543440514134817,0.0017411796520506264
4.8100000000000005,0.993537413065515,0.004675316614831315,0.0017872703196538235
4.82,0.9933540264506318,0.004811273498806024,0.0018347000505623712
4.83,0.9931650465195399,0.0049514431712098135,0.0018835103092504928
4.84,0.9929702940867471,0.005095962011250693,0.0019337439020023401
4.8500000000000005,0.9927695840623568,0.005244970916273761,0.0019854450213695096
4.86,0.9925627252576251,0.005398615450283467,0.002038659292091485
4.87,0.9923495201844612,0.0055570459970149325,0.002093433818523966
4.88,0.9921297648487181,0.005720417917660904,0.0021498172336211064
4.89,0.9919032485371209,0.0058888917133604795,0.002207859749518748
4.9,0.9916697535976783,0.006062633192554974,0.0022676132097667946
4.91,0.991429055213425,0.006241813643315152,0.0023291311432599286
4.92,0.9911809211693406,0.00642661001074251,0.002392468819916884
4.93,0.9909251116122951,0.0066172050795453435,0.002457683308159535
4.94,0.9906613788038681,0.006813787661887869,0.002524833534244035
4.95,0.990389466865895,0.007016552790607723,0.0025939803434972208
4.96,0.9901091115185939,0.007225701917893608,0.0026651865635124194
4.97,0.9898200398111295,0.0074414431195107145,0.002738517069359712
4.98,0.9895219698444767,0.007663991304656728,0.002814038850866544
4.99,0.989214610486449,0.007893568431525642,0.002891821082025377
5.0,0.9888976610787639,0.008130403728650292,0.00297193519258583
5.01,0.9885708111360233,0.008374733922087279,0.0030544549418894088
5.0200000000000005,0.9882337400364947,0.008626803468499818,0.003139456495005547
5.03,0.9878861167045869,0.008886864794184924,0.003227018501228164
5.04,0.9875275992849265,0.009155178540081084,0.0033172221749923833
5.05,0.9871578348079474,0.009432013812781187,0.0034101513792713463
5.0600000000000005,0.9867764588469239,0.009717648441562823,0.003505892711513244
5.07,0.9863830951663872,0.010012369241434027,0.003604535592178747
5.08,0.985977355361884,0.0103164722821771,0.003706172355938909
5.09,0.9855588384910505,0.01063026316335608,0.003810898345593378
5.1000000000000005,0.9851271306959969,0.010954057295234763,0.003918812008768287
5.11,0.9846818048170157,0.011288180185531613,0.004030014997452593
5.12,0.9842224199976537,0.011632967731915522,0.004144612270430766
5.13,0.9837485212812094,0.011988766520121907,0.004262712198668656
5.14,0.98325963919875,0.012355934127541927,0.004384426673708028
5.15,0.9827552893487677,0.012734839432108642,0.004509871219123639
5.16,0.9822349719686326,0.013125862926272441,0.004639165105094822
5.17,0.9816981714980347,0.013529397035823931,0.004772431466141281
5.18,0.9811443561346441,0.013945846443285559,0.004909797422070208
5.19,0.9805729773822677,0.014375628415553319,0.005051394202178871
5.2,0.9799834695918197,0.014819173135426834,0.005197357272753368
5.21,0.9793752494954797,0.01527692403661971,0.005347826467900466
5.22,0.9787477157344627,0.015749338141792097,0.005502946123745046
5.23,0.9781002483808852,0.01623688640309382,0.005662865216020896
5.24,0.9774322084542739,0.016740054044648785,0.0058277375010771315
